from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Krumpaul,Höhle,2174,184,195,2024-01-23T11:20:02.460110000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,167,2024-01-23T11:20:02.460110000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,186,2024-01-23T11:20:02.295011000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,156,2024-01-23T11:20:02.295011000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,197,2024-01-23T11:20:02.090792000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,188,2024-01-23T11:20:02.090792000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,187,2024-01-23T11:10:01.599968000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,156,2024-01-23T11:10:01.599968000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,181,2024-01-23T11:10:01.455983000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,151,2024-01-23T11:10:01.455983000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,202,2024-01-23T11:10:01.274047000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,193,2024-01-23T11:10:01.274047000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,189,2024-01-23T11:00:01.207251000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,160,2024-01-23T11:00:01.207251000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,180,2024-01-23T11:00:01.038893000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,152,2024-01-23T11:00:01.038893000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,192,2024-01-23T11:00:00.839919000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,186,2024-01-23T11:00:00.839919000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,191,2024-01-23T10:50:02.228850000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,161,2024-01-23T10:50:02.228850000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,181,2024-01-23T10:50:02.088866000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,155,2024-01-23T10:50:02.088866000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,194,2024-01-23T10:50:01.910332000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,190,2024-01-23T10:50:01.910332000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,198,2024-01-23T10:40:02.058075000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,168,2024-01-23T10:40:02.058075000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,188,2024-01-23T10:40:01.925138000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,159,2024-01-23T10:40:01.925138000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,206,2024-01-23T10:40:01.732290000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,198,2024-01-23T10:40:01.732290000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,201,2024-01-23T10:30:01.866917000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,172,2024-01-23T10:30:01.866917000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,197,2024-01-23T10:30:01.740521000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,165,2024-01-23T10:30:01.740521000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,217,2024-01-23T10:30:01.537751000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,204,2024-01-23T10:30:01.537751000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,201,2024-01-23T10:20:02.214380000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,165,2024-01-23T10:20:02.214380000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,199,2024-01-23T10:20:02.063689000,Krankenhaus -> Höhle
