datetime,from,to,distance_m,duration_s
2024-01-31 10:50:02.118139,Krumpaul,Höhle,2174,184
2024-01-31 10:50:02.118139,Krumpaul,Krankenhaus,1539,147
2024-01-31 10:50:01.94325,Krankenhaus,Höhle,1902,176
2024-01-31 10:50:01.94325,Krankenhaus,Krumpaul,1560,145
2024-01-31 10:50:01.733455,Höhle,Krankenhaus,1905,183
2024-01-31 10:50:01.733455,Höhle,Krumpaul,2154,181
2024-01-31 10:40:02.335514,Krumpaul,Höhle,2174,184
2024-01-31 10:40:02.335514,Krumpaul,Krankenhaus,1539,147
2024-01-31 10:40:02.159748,Krankenhaus,Höhle,1902,176
2024-01-31 10:40:02.159748,Krankenhaus,Krumpaul,1560,145
2024-01-31 10:40:01.966696,Höhle,Krankenhaus,1905,183
2024-01-31 10:40:01.966696,Höhle,Krumpaul,2154,181
2024-01-31 10:30:02.392495,Krumpaul,Höhle,2174,184
2024-01-31 10:30:02.392495,Krumpaul,Krankenhaus,1539,147
2024-01-31 10:30:02.254514,Krankenhaus,Höhle,1902,176
2024-01-31 10:30:02.254514,Krankenhaus,Krumpaul,1560,145
2024-01-31 10:30:02.085965,Höhle,Krankenhaus,1905,183
2024-01-31 10:30:02.085965,Höhle,Krumpaul,2154,181
2024-01-31 10:20:01.762311,Krumpaul,Höhle,2174,184
2024-01-31 10:20:01.762311,Krumpaul,Krankenhaus,1539,147
2024-01-31 10:20:01.575805,Krankenhaus,Höhle,1902,176
2024-01-31 10:20:01.575805,Krankenhaus,Krumpaul,1560,145
2024-01-31 10:20:01.374588,Höhle,Krankenhaus,1905,183
2024-01-31 10:20:01.374588,Höhle,Krumpaul,2154,181
2024-01-31 10:10:02.326465,Krumpaul,Höhle,2174,184
2024-01-31 10:10:02.326465,Krumpaul,Krankenhaus,1539,147
2024-01-31 10:10:02.176517,Krankenhaus,Höhle,1902,176
2024-01-31 10:10:02.176517,Krankenhaus,Krumpaul,1560,145
2024-01-31 10:10:02.002696,Höhle,Krankenhaus,1905,183
2024-01-31 10:10:02.002696,Höhle,Krumpaul,2154,181
2024-01-31 10:00:01.708849,Krumpaul,Höhle,2174,184
2024-01-31 10:00:01.708849,Krumpaul,Krankenhaus,1539,147
2024-01-31 10:00:01.531617,Krankenhaus,Höhle,1902,176
2024-01-31 10:00:01.531617,Krankenhaus,Krumpaul,1560,145
2024-01-31 10:00:01.328706,Höhle,Krankenhaus,1905,183
2024-01-31 10:00:01.328706,Höhle,Krumpaul,2154,181
2024-01-31 09:50:02.131297,Krumpaul,Höhle,2174,184
2024-01-31 09:50:02.131297,Krumpaul,Krankenhaus,1539,147
2024-01-31 09:50:01.921091,Krankenhaus,Höhle,1902,176
2024-01-31 09:50:01.921091,Krankenhaus,Krumpaul,1560,145
2024-01-31 09:50:01.755533,Höhle,Krankenhaus,1905,183
2024-01-31 09:50:01.755533,Höhle,Krumpaul,2154,181
2024-01-31 09:40:01.464672,Krumpaul,Höhle,2174,184
2024-01-31 09:40:01.464672,Krumpaul,Krankenhaus,1539,147
2024-01-31 09:40:01.293534,Krankenhaus,Höhle,1902,176
2024-01-31 09:40:01.293534,Krankenhaus,Krumpaul,1560,145
2024-01-31 09:40:01.075326,Höhle,Krankenhaus,1905,183
2024-01-31 09:40:01.075326,Höhle,Krumpaul,2154,181
2024-01-31 09:30:02.042458,Krumpaul,Höhle,2174,184
2024-01-31 09:30:02.042458,Krumpaul,Krankenhaus,1539,147
2024-01-31 09:30:01.880791,Krankenhaus,Höhle,1902,176
2024-01-31 09:30:01.880791,Krankenhaus,Krumpaul,1560,145
2024-01-31 09:30:01.64492,Höhle,Krankenhaus,1905,183
2024-01-31 09:30:01.64492,Höhle,Krumpaul,2154,181
2024-01-31 09:20:02.741694,Krumpaul,Höhle,2174,184
2024-01-31 09:20:02.741694,Krumpaul,Krankenhaus,1539,147
2024-01-31 09:20:02.593737,Krankenhaus,Höhle,1902,176
2024-01-31 09:20:02.593737,Krankenhaus,Krumpaul,1560,145
2024-01-31 09:20:02.355483,Höhle,Krankenhaus,1905,183
2024-01-31 09:20:02.355483,Höhle,Krumpaul,2154,181
2024-01-31 09:10:01.874274,Krumpaul,Höhle,2174,184
2024-01-31 09:10:01.874274,Krumpaul,Krankenhaus,1539,147
2024-01-31 09:10:01.685627,Krankenhaus,Höhle,1902,176
2024-01-31 09:10:01.685627,Krankenhaus,Krumpaul,1560,145
2024-01-31 09:10:01.498872,Höhle,Krankenhaus,1905,183
2024-01-31 09:10:01.498872,Höhle,Krumpaul,2154,181
2024-01-31 09:00:01.929965,Krumpaul,Höhle,2174,184
2024-01-31 09:00:01.929965,Krumpaul,Krankenhaus,1539,147
2024-01-31 09:00:01.784556,Krankenhaus,Höhle,1902,176
2024-01-31 09:00:01.784556,Krankenhaus,Krumpaul,1560,145
2024-01-31 09:00:01.567793,Höhle,Krankenhaus,1905,183
2024-01-31 09:00:01.567793,Höhle,Krumpaul,2154,181
2024-01-31 08:50:01.652336,Krumpaul,Höhle,2174,184
2024-01-31 08:50:01.652336,Krumpaul,Krankenhaus,1539,147
2024-01-31 08:50:01.521256,Krankenhaus,Höhle,1902,176
2024-01-31 08:50:01.521256,Krankenhaus,Krumpaul,1560,145
2024-01-31 08:50:01.344727,Höhle,Krankenhaus,1905,183
2024-01-31 08:50:01.344727,Höhle,Krumpaul,2154,181
2024-01-31 08:40:01.222777,Krumpaul,Höhle,2174,184
2024-01-31 08:40:01.222777,Krumpaul,Krankenhaus,1539,147
2024-01-31 08:40:01.040494,Krankenhaus,Höhle,1902,176
2024-01-31 08:40:01.040494,Krankenhaus,Krumpaul,1560,145
2024-01-31 08:40:00.749037,Höhle,Krankenhaus,1905,183
2024-01-31 08:40:00.749037,Höhle,Krumpaul,2154,181
2024-01-31 08:30:01.691424,Krumpaul,Höhle,2174,184
2024-01-31 08:30:01.691424,Krumpaul,Krankenhaus,1539,147
2024-01-31 08:30:01.531559,Krankenhaus,Höhle,1902,176
2024-01-31 08:30:01.531559,Krankenhaus,Krumpaul,1560,145
2024-01-31 08:30:01.331015,Höhle,Krankenhaus,1905,183
2024-01-31 08:30:01.331015,Höhle,Krumpaul,2154,181
2024-01-31 08:20:01.521697,Krumpaul,Höhle,2174,184
2024-01-31 08:20:01.521697,Krumpaul,Krankenhaus,1539,147
2024-01-31 08:20:01.410123,Krankenhaus,Höhle,1902,176
2024-01-31 08:20:01.410123,Krankenhaus,Krumpaul,1560,145
2024-01-31 08:20:01.209163,Höhle,Krankenhaus,1905,183
2024-01-31 08:20:01.209163,Höhle,Krumpaul,2154,181
2024-01-31 08:10:01.696141,Krumpaul,Höhle,2174,184
2024-01-31 08:10:01.696141,Krumpaul,Krankenhaus,1539,147
2024-01-31 08:10:01.568719,Krankenhaus,Höhle,1902,176
2024-01-31 08:10:01.568719,Krankenhaus,Krumpaul,1560,145
2024-01-31 08:10:01.404906,Höhle,Krankenhaus,1905,183
2024-01-31 08:10:01.404906,Höhle,Krumpaul,2154,181
2024-01-31 08:00:01.816767,Krumpaul,Höhle,2174,184
2024-01-31 08:00:01.816767,Krumpaul,Krankenhaus,1539,147
2024-01-31 08:00:01.698369,Krankenhaus,Höhle,1902,176
2024-01-31 08:00:01.698369,Krankenhaus,Krumpaul,1560,145
2024-01-31 08:00:01.485273,Höhle,Krankenhaus,1905,183
2024-01-31 08:00:01.485273,Höhle,Krumpaul,2154,181
2024-01-31 07:50:01.959397,Krumpaul,Höhle,2174,184
2024-01-31 07:50:01.959397,Krumpaul,Krankenhaus,1539,147
2024-01-31 07:50:01.805717,Krankenhaus,Höhle,1902,176
2024-01-31 07:50:01.805717,Krankenhaus,Krumpaul,1560,145
2024-01-31 07:50:01.626165,Höhle,Krankenhaus,1905,183
2024-01-31 07:50:01.626165,Höhle,Krumpaul,2154,181
2024-01-31 07:40:01.896266,Krumpaul,Höhle,2174,184
2024-01-31 07:40:01.896266,Krumpaul,Krankenhaus,1539,147
2024-01-31 07:40:01.765747,Krankenhaus,Höhle,1902,176
2024-01-31 07:40:01.765747,Krankenhaus,Krumpaul,1560,145
2024-01-31 07:40:01.560816,Höhle,Krankenhaus,1905,183
2024-01-31 07:40:01.560816,Höhle,Krumpaul,2154,181
2024-01-31 07:30:01.734662,Krumpaul,Höhle,2174,184
2024-01-31 07:30:01.734662,Krumpaul,Krankenhaus,1539,147
2024-01-31 07:30:01.605288,Krankenhaus,Höhle,1902,176
2024-01-31 07:30:01.605288,Krankenhaus,Krumpaul,1560,145
2024-01-31 07:30:01.404815,Höhle,Krankenhaus,1905,183
2024-01-31 07:30:01.404815,Höhle,Krumpaul,2154,181
2024-01-31 07:20:01.713255,Krumpaul,Höhle,2174,184
